Id,Name,Zone,Toldescribe,Description,Tel,Add,Zipcode,Region,Town,Travellinginfo,Opentime,Picture1,Picdescribe1,Picture2,Picdescribe2,Picture3,Picdescribe3,Map,Gov,Px,Py,Orgclass,Class1,Class2,Class3,Level,Website,Parkinginfo,Parkinginfo_Px,Parkinginfo_Py,Ticketinfo,Remarks,Keyword,Changetime
C1_397000000A_000010,中都愛河濕地公園,nan,串起高雄城市生態綠廊的中都愛河濕地公園座落於愛河南側的十全與九如路之間，全長約2.5公里，佔地達七千餘平方公尺。為了打造與市民生活融合的「水岸花香的永續生態城市」，愛河濕地公園以生態工法構築邊坡，重現早期溼地豐富生態棲息環境。園區設置原木建築為遊客解說中心，另有木造涼亭、吊橋、潮汐親水平台以及漂流木為設計主軸的燈具座椅等設施，質樸中深具原野氣息，而仿自然的複層林相植栽也使市區重現豐富林相。悠遊於綠油油曲折玲瓏的河岸可見各種水鳥飛翔駐留、紅樹林和濕地更使愛河重現盎然生機。由於中都濕地公園打造出兼具自然生態、教育解說及民眾休憩等眾多功能，又完整呈現愛河沿岸多樣性的風貌，2012年榮獲「全球卓越建設獎」殊榮，也因此有高雄都會桃花源的美稱。,中都濕地公園打造出兼具自然生態、教育解說及民眾休憩等眾多功能，呈現愛河沿岸多樣性的風貌，也因此有高雄都會桃花源的美稱。,886-7-7995678,高雄市807三民區同盟三路與十全三路交叉處,807.0,高雄市,三民區,nan,全天候開放,https://khh.travel/image/889/640x480,中都濕地公園07,nan,nan,nan,nan,nan,397000000A,120.28653,22.64655,nan,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2021/05/03 11:40:46
C1_397000000A_000011,檨仔林埤濕地公園,nan,狹長型的檨仔林埤濕地公園位於高雄市三民區，鼎金後路與鼎金系統交流道之間，是高雄市近年來整治成功，兼具滯洪、防洪、休閒教育與生態功能的埤塘濕地公園之一。園區北側有「生態密林區」，茂密的原生檨仔樹林如同都市之肺，可以阻隔、緩衝北側高速公路對生態與環境造成的干擾; 「生態維持區」則將原有地形疏浚深化，形成生態浮島與水域栽培育區，遍植野薑花、慈菇、香蒲等水生植物，利用生態池水體自淨機制淨化水質。清新的環境與自然的綠意，吸引水鳥與生物棲息，腳踏車道與林蔭綠意提供遊人休憩放鬆的清淨角落，也是高雄市美麗的後花園。,狹長型的檨仔林埤濕地公園，是高雄市近年來整治成功，兼具滯洪、防洪、休閒教育與生態功能的埤塘濕地公園之一。,886-7-7995678,高雄市807三民區鼎金後路461巷,807.0,高雄市,仁武區,nan,全天候開放,https://khh.travel/image/193/640x480,檨仔林埤濕地公園01,nan,nan,nan,nan,nan,397000000A,120.32707,22.6727,nan,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2022/04/14 14:57:56
C1_397000000A_000016,愛河之心,nan,位於高雄市博愛一路和同盟一路的愛河中上游，愛河之心是由東湖與西湖構成，兩湖中間興建一座橋貫通，形狀好似一個心形。佔地1.4平方公里的愛河之心是二個人工蓄洪湖構成，較淺的東湖是生態池，打造的仿自然環境供魚蝦生物棲息生長，西湖因水位較深，除了滯洪及生態功能外還供愛河遊船行駛停靠，兩湖之間由空橋連繫，形成美麗的心型。每當夜幕低垂，彩色燈光投影在湖畔水景噴泉及橋面，白色縷空護欄也映照出朵朵美麗心花，猶如愛河上最閃爍燦爛的珠寶，浪漫情調總是吸引遊客情侶在湖畔漫遊、不捨離去。愛河之心交通便捷，除公路捷運外，尚有水路遊船及單車步道，是體會夜高雄之美的最佳去處。,位於高雄市的愛河中上游，愛河之心是二個人工蓄洪湖東湖與西湖構成，兩湖中間興建一座橋貫通，形狀好似一個心形。,886-7-7995678,高雄市807三民區博愛一路和同盟一路、二路,807.0,高雄市,三民區,搭高鐵至左營站下或搭臺鐵至高雄站下 → 轉搭高雄捷運至後驛站下。,全天候開放,https://khh.travel/content/images/Attractions/18372/640x480_attractions-image-bae0klru_u-qfd7nguvujw.jpg,愛河之心空拍照-白天,nan,nan,nan,nan,nan,397000000A,120.30388,22.65132,nan,12,13.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2024/05/19 00:01:04
C1_397000000A_000021,國定古蹟-竹仔門電廠,nan,竹仔門發電廠目前正式名稱為「高屏發電廠竹仔門分廠」，是日據(治)時代為提供南臺灣電力而興建，利用荖濃溪水力發電的川流式電廠。建於1908年的竹仔門電廠花木扶疏、綠樹蓊鬱，仿巴洛克式的三層磚造樓房去除了繁複的花飾、留下簡捷優雅的線條，弧形山牆、成列的拱形窗戶、牛眼窗，使電廠少了冰冷的工業風格而多了古典溫潤，在美濃紅磚瓦厝的四合院落中更顯得獨具特色。電廠內的發電設備當年均由德國進口，經過百年時光仍能運轉，猶如活古董般的發電機見證了百年來臺灣的發電史，也因此竹仔門電廠列為臺灣第一座「產業古蹟」，2003年更成為國定古蹟。竹仔門電廠的電力曾為南臺灣現代化奠定基礎，發電後的排水也為高屏農業灌溉出富裕繁盛，可在電廠上班日安排參觀，欣賞百年電廠環境及建築之美並實地了解水力發電，深具教育與觀光意義。,竹仔門發電廠目前正式名稱為「高屏發電廠竹仔門分廠」，是日據時代為提供南台灣電力而興建，利用荖濃溪水力發電的川流式電廠。,886-7-6850579,高雄市843美濃區獅山里竹門20號,843.0,高雄市,美濃區,nan,平日：08:00–16:30,https://khh.travel/image/1444/640x480,竹子門發電廠 (5),nan,nan,nan,nan,nan,397000000A,120.58639,22.8694,nan,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2022/04/14 15:43:13
C1_397000000A_000026,佛光山,nan,佛光山寺位於大樹區北端，由星雲法師於民國56年帶領弟子披荊斬棘一磚一瓦所建，佔地五十餘公頃，與2011年新建的佛陀紀念館綿延於高屏溪右岸，大大小小的佛殿依山勢羅列，莊嚴雄渾、氣勢宏偉，是臺灣重要的佛教勝地。佛光山有四座殿堂式主建築及上萬尊的神像，另有教育、醫療、美術館等等機構，是以推動人間佛教、建設人間淨土為宗旨，綜合了弘法、教育、慈善、文化、朝聖等並行發展之現代道場。佛光山提供信眾參拜及佛學清修教育等多元環境，同時也是遊人朝聖踏青的熱門景點，尤以夕陽西下時大佛與宮殿式寺廟沐浴在暮靄霞光中更顯莊嚴恢宏、見之忘卻塵世煩憂。農曆春節到元宵期間，滿山掛滿花燈，入夜後更是光華燦爛、美不勝收。,佛光山寺由星雲法師於民國56年帶領弟子披荊斬棘一磚一瓦所建，大大小小的佛殿依山勢羅列，莊嚴雄渾、氣勢宏偉。,886-7-6561921,高雄市840大樹區興田里興田路153號,840.0,高雄市,大樹區,台鐵、飛機：在高雄火車站附近轉高雄客運往旗山、美濃、甲仙、六龜等(有經佛光山路線)皆可搭乘；或搭乘台鐵至九曲堂站，再轉搭高雄客運或計程車至佛光山。高鐵：於左營高鐵站轉乘台鐵至九曲堂站，再轉搭高雄客運或計程車至佛光山。搭乘義大客運直達佛光山。台灣好行-大樹祈福線：一日券優惠價50元。哈佛快線：搭乘高雄客運「哈佛快線」從高鐵左營站經國道10號往返佛陀紀念館、佛光山之間，行程約30分...,08:30–17:30,https://khh.travel/content/images/Attractions/18453/640x480_attractions-image-nklp00q7cu2yvhwwckcuga.jpg,佛光山-大佛照,nan,nan,nan,nan,nan,397000000A,120.44612,22.7474,nan,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2024/05/15 09:40:04
C1_397000000A_000028,臺灣天壇,nan,臺灣天壇位於大樹行政區北端，前臨高屏溪及里嶺大橋、三面則有群山環繞，交通方便、景觀壯濶。天壇面積近三萬平方公尺，氣派的迎賓牌坊及九十九級台階引領遊客信眾進入莊嚴優雅的清修之地，精緻的九龍浮雕更增添磅礡氣勢。天壇為仿北平天壇而建的圓型建築體，樓高三層，以紅色樑柱、綠色拱頂覆以金黃色琉璃瓦，氣度圓融恢宏，內部陳設則質樸典雅，分層供奉清水祖師、關聖帝君及玉皇大帝，除了供信眾信仰朝拜、也是一覽高屏溪秀麗風光的絶佳地點。,臺灣天壇位於大樹行政區北端，前臨高屏溪及里嶺大橋、三面則有群山環繞，交通方便、景觀壯濶。天壇面積近三萬平方公尺，氣派的迎賓牌坊及九十九級台階引領遊客信眾進入莊嚴優雅的清修之地，精緻的九龍浮雕更增添磅礡氣勢。天壇為仿北平天壇而建的圓型建築體，樓高三層，以紅色樑柱、綠色拱頂覆以金黃色琉璃瓦，氣度圓融恢宏，內部陳設則質樸典雅，分層供奉清水祖師、關聖帝君及玉皇大帝，除了供信眾信仰朝拜、也是一覽高屏溪秀麗風光的絶佳地點。,886-7-6565176,高雄市840大樹區統嶺里7鄰統嶺路88號,840.0,高雄市,大樹區,nan,09:00–17:00,https://khh.travel/image/260/640x480,臺灣天壇,nan,nan,nan,nan,nan,397000000A,120.44693,22.77197,nan,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2021/09/30 18:05:12
C1_397000000A_000031,高雄市天文教育館,nan,在港都市民及天文迷引頸期盼，位於小港區港和國小內的天文教育館於2000年成立了。這座小而美的教育館以天文教學為主，推廣為輔，透過多媒體的展示廳、天文觀測台及各種設備及模型等等，館中尚有價值超過六百萬的300mm反射式天文望遠鏡，引領您進入天文科學的殿堂，利用觀賞、觀察及實地操作演練，一窺宇宙奧秘。天文教育館每年皆定期舉行兒童天文育樂營、特殊星象觀測等多項研習課程，透過活潑的營隊教學，增加小朋友對天文的興趣及認識，並開放團體租借「天文行動教室」，期望透過天文教育館推廣與向下紮根，引領更多人進入天文科學浩瀚的殿堂。,在港都市民及天文迷引頸期盼，位於小港區港和國小內的天文教育館於2000年成立了。這座小而美的教育館以天文教學為主，推廣為輔，透過多媒體的展示廳、天文觀測台及各種設備及模型等等，館中尚有價值超過六百萬的300mm反射式天文望遠鏡，引領您進入天文科學的殿堂，利用觀賞、觀察及實地操作演練，一窺宇宙奧秘。天文教育館每年皆定期舉行兒童天文育樂營、特殊星象觀測等多項研習課程，透過活潑的營隊教學，增加小朋友對天文的興趣及認識，並開放團體租借「天文行動教室」，期望透過天文教育館推廣與向下紮根，引領更多人進入天文科學浩瀚的殿堂。,886-7-8131506#115,高雄市812小港區平和南路300號(港和國小內),812.0,高雄市,小港區,捷運紅線─草衙站1號出口 轉 公車─紅6 至「小港國中」站下車。,預約開放週二及週四09:30–11:30；13:30–15:30,https://khh.travel/image/891/640x480,高雄市天文教育館01,nan,nan,nan,nan,nan,397000000A,120.33746,22.568,nan,5,nan,nan,nan,nan,nan,nan,nan,學生每人酌收水電清潔維護費50元，請於本館參觀當天辦理團體繳費手續。,僅接受團體預約(15人以上)非學校團體僅開放寒暑假期間預約。,nan,2022/04/20 17:33:01
C1_397000000A_000033,九番埤濕地公園,nan,九番埤原為提供農業水源的公有灌溉埤塘，農業蕭條及高速公路阻隔之後，一度荒廢遭到濫倒建棄土的命運。經過環保團體及地方有志之士的奔走爭取，整理疏濬原有水道，引進濕地自然公園的概念，規劃了散步道、親水區、教育區、水質沉澱區及自然林區等設施，不但提供自然生物棲息之地，也是滯洪防災及市民提供親近自然的桃花源。九番埤現存一座A字形RC構造物，為早期木業公司吊運原木至儲木池的重要工具，頗具歷史意義，也是此地的特色地標。如今如珠鍊般串連高雄南北的濕地公園己蔚然成型，天光雲影倒映青草水岸，蟲嗚鳥唱綠意盎然的景緻已經成為都市中最舒心自在的美麗角落。,天光雲影倒映青草水岸，蟲嗚鳥唱綠意盎然的景緻，成為都市中舒心自在的美麗角落,886-7-7995678,高雄市814仁武區東起自中山高速公路，西側與九番埤相連,814.0,高雄市,仁武區,nan,全天候開放,https://khh.travel/image/273/640x480,九番埤濕地公園01,nan,nan,nan,nan,nan,397000000A,120.32643,22.68715,nan,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2020/05/26 23:50:44
C1_397000000A_000047,田寮冷泉區（田寮花季度假飯店）,nan,"田寮冷泉的歷史相當悠久，早年田寮區土質貧瘠，水源缺乏，當地住民發現岩縫中湧出的冷泉，因此居民們臨水而居，利用冷泉生活與灌溉，使珍貴碳酸冷泉成為孕育田寮區的生命之泉。日軍來台至此駐地後，發現此為世界稀少的碳酸冷泉，還在冷泉區設立警察療養所，形成此地的泡湯文化。田寮冷泉屬於自然湧出的碳酸氫納泉，PH值為7、平均水溫為22，是水質透明無色略帶硫磺味的低溫溫泉。日據時期即有人利用溫泉加熱後沐浴，由於質純溫潤素有美人肌湯之稱，也是南臺灣唯一有冷泉的地區。開放時間：玉蘭軒湯屋   09：00～21：00（最後入場時間 19：00）出雲風呂大眾池 07：00～22：00（最後入場時間 21：00）覓堂西餐廳 07：00～21：00（最後入場時間 20：00）收費標準 : ■玉蘭軒湯屋 $1,500元/屋起■出雲風呂大眾池 $800元/人",田寮冷泉的歷史相當悠久，早年田寮區土質貧瘠，水源缺乏，當地住民發現岩縫中湧出的冷泉，因此居民們臨水而居，利用冷泉生活與灌溉，使珍貴碳酸冷泉成為孕育田寮區的生命之泉。日軍來台至此駐地後，發現此為世界稀少的碳酸冷泉，還在冷泉區設立警察療養所，形成此地的泡湯文化。田寮冷泉屬於自然湧出的碳酸氫納泉，PH值為7、平均水溫為22，是水質透明無色略帶硫磺味的低溫溫泉。日據時期即有人利用溫泉加熱後沐浴，由於質純溫潤素有美人肌湯之稱，也是南台灣唯一有冷泉的地區。,886-7-6362288,高雄市823田寮區南安里崗北路111號,823.0,高雄市,田寮區,nan,依各家業者不同,https://khh.travel/image/902/640x480,田寮冷泉02,nan,nan,nan,nan,nan,397000000A,120.35731,22.87468,nan,10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2024/05/26 00:00:24
C1_397000000A_000049,甲仙化石館,nan,位於高雄市東北方的甲仙區除了盛產芋頭與竹筍，在地質上全區幾乎皆為海底沉積岩，全區高達9個主要化石區，而臨近的楠梓仙溪，更是可直接體驗採集樂趣的化石樂園，特殊的地理背景也促成甲仙化石館的成立。甲仙化石館所展出的主要是臺灣內海的魚貝類生態遺跡，主要分成甲仙翁戎螺化石館、甲仙當地化石、依年代區分的臺灣各地化石及世界化石四個展示區，全館館藏六千餘件，已然成為指標性地方專業博物館，深具學術及觀光價值，對於喜愛欣賞及研究化石遺跡的朋友而言，甲仙化石館是一個不可錯過拜訪的景點。,全館館藏六千餘件，已然成為指標性地方專業博物館，深具學術及觀光價值，對於喜愛欣賞及研究化石遺跡的朋友而言是一個不可錯過拜訪的景點。,886-7-6753180,高雄市847甲仙區和安村四德巷10號之10,847.0,高雄市,甲仙區,nan,08:00–12:00；13:00–17:00(週一、二公休),https://khh.travel/image/334/640x480,甲仙化石館-1,nan,nan,nan,nan,nan,397000000A,120.58827,23.09219,nan,5,nan,nan,nan,nan,nan,nan,nan,全票：NT$50半票：NT$30(持學生證、高雄市民)團體票：NT$10(各級學校戶外教學，20人以上)免費：甲仙區居民、65歲以上長者、持身心障礙證明及陪同者一名、持志願服務榮譽...,nan,nan,2022/04/26 15:13:43
